Institute,Deadline,Website

IIT Ropar,"April 15,2022",https://www.iitrpr.ac.in/summer-internship/Application-Form
SINP Kolkata,"April 15, 2022",https://bit.ly/33YG7V7
IIA Bangalore,"April 10, 2022",https://bit.ly/3uhXScy
IIT Madras,"April 4, 2022",https://sfp.iitm.ac.in/
IIT Gandhinagar,"Mar 25, 2022",https://srip.iitgn.ac.in/info/
RRI Bangalore,Anytime,https://www.rri.res.in/careers/visiting-students
IIT Indore,Anytime,https://iiti.ac.in/page/online-internship-policy-of-iit-indore-for-the-undergraduate-students
Rutgers University,,https://bit.ly/3IYExBw
Qulabs Software India,,https://bit.ly/3smWR0h
Los Alamos National Lab,,https://bit.ly/3smTVB2
SatSure Quantum ML internship,,https://bit.ly/3r3neJa
HRI Prayagraj (Allahabad),,https://bit.ly/3G54BsM
