Institute,Deadline,Stipend (monthly),Website

IOP Bhubhaneswar,"April 14, 2022",unclear,https://www.iopb.res.in/job/2022/SSVP-2022.pdf
IIT Ropar,"April 15,2022",none,https://www.iitrpr.ac.in/summer-internship/Application-Form
SINP Kolkata,"April 15, 2022","Rs. 7,000",http://www.saha.ac.in/web/summer-home
IISER Bhopal,"April 20, 2022",none,https://www.iiserb.ac.in/doaa/internship
Bose Nat. Center,"April 20, 2022","Rs. 1250",https://www.bose.res.in/AcademicProgrammes/SRP.jsp
NISER Bhubaneswar,"April 20, 2022","Rs. 5,000",https://www.niser.ac.in/sps/scholarship/summer-project-programme-2022
IUAC New Delhi,"April 23, 2022",free food \& stay,https://gate.iuac.res.in/bscsp2022/announcement.html
PRL Ahmedabad,"April 26, 2022","Rs. 10,000",https://www.prl.res.in/prl-eng/summer_internship
NIT Meghalaya,"April 29,2022",none,https://nitm.ac.in/p/advertisement-for-summer-internship-program-2022
IIT Bhubaneswar,"April 30, 2022",none,https://webapps.iitbbs.ac.in/internship-application/
JNCASR Bangalore,"April 30, 2022","Rs. 10,000",https://www.jncasr.ac.in/academic/fandeprogrammes/srfp/
IISER Kolkata,"May 4, 2022",none,https://www.iiserkol.ac.in/~summer.research/
IMSC Chennai,"May 08, 2022","Rs. 200 / day",https://www.imsc.res.in/summer_research_programme
IIIT Allahabad,"May 16, 2022",unclear,https://internship.iiita.ac.in/
IIT Tirupati,"May 25, 2022",none,https://iittp.ac.in/pdfs/announcements/Vritika_Program_1.pdf
IIPE Andhra Pradesh,"May 31, 2022","Rs. 10,000 (total)",https://iipe.ac.in/sip
"IUCAA, Pune","May 31, 2022","Rs. 10,000 (total)","http://www.iucaa.in/Stu-Prog-VSP.html"
VNIT Nagpur,"April 16, 2022",unclear,https://vnit.ac.in/index.php/sip/
VECC Kolkata,"April 18,2022","Rs. 10,000",https://www.vecc.gov.in/writereaddata/upload/news/Summer_Student.pdf
NIT Trichy,"April 15,2022",unclear,https://www.nitt.edu/home/other/jobs/Summer_Internship-Outside_NITT-MAR_2022.pdf
IIT Madras,"April 4, 2022","Rs. 6,000",https://sfp.iitm.ac.in/
IIT Palakkad,"April 10, 2022","Rs. 6,000",https://sun.iitpkd.ac.in/
IIA Bangalore,"April 10, 2022","Rs. 10,000",https://www.iiap.res.in/?q=degree
IIT Gandhinagar,"March 25, 2022","Rs. 2000/week",https://srip.iitgn.ac.in/info/
IIT Roorkee,"March 5,2022",,https://spark.iitr.ac.in/175iitr
NCRA Pune,"February 21, 2022","Rs. 7000",http://vsrp.ncra.tifr.res.in/VSRP2022/candidate/welcome.ncra
IIT Kanpur,"February 2, 2022","Rs 12,500 (total)",https://surge.iitk.ac.in/notification.html
ICTS Bangalore,"January 31, 2022",,https://www.icts.res.in/academic/summer-research-program
IISC Bangalore ,"January 15, 2022",,https://teelabiisc.wordpress.com/join-us/
Science Academies,"November 30, 2021",,https://webjapps.ias.ac.in/fellowship2022/
IIT Roorkee,,"Rs. 2,500/week",https://spark.iitr.ac.in/
IIT Mandi,,,https://www.iitmandi.ac.in/academics/internship.php
IUCAA Pune,,"Rs. 10,000 (total)",http://www.iucaa.in/Stu-Prog-VSP.html
IISER Thiruvananthapuram,,,https://www.iisertvm.ac.in/pages/svp
Bose Institute Kolkata,"March 31, 2020",,http://www.jcbose.ac.in/summer-training
IIT KGP,"February 29, 2020",,http://www.cts.iitkgp.ac.in/?id=fellow
IISER Pune,"February 29, 2020",,http://sites.iiserpune.ac.in/~issp/
IISER Berhampur,"April 20, 2021",none,https://www.iiserbpr.ac.in/index.php?category=doaa&pid=internship
IIT Jammu,"April 14, 2022","Rs. 2,500 (weekly)",https://iitjammu.ac.in/post/rise-up
IISER Mohali,,,https://web.iisermohali.ac.in/dept/physics/summerprogram.html
IIST,,,https://www.iist.ac.in/career/4
IIT Bhilai,"April 8, 2022",unclear,https://careerheight.in/iit-bhilai-summer-internship-program-vritika/
IIT Kharagpur (NSM),"May 10, 2022","Rs. 8000",http://www.ccds.iitkgp.ac.in/website.html
IIT Delhi,"March 29, 2022","Rs. 500/week",https://academics.iitd.ac.in/srf/
IIT Jodhpur,"April 05, 2019","Rs. 2,000/week",https://iitj.ac.in/institute/index.php?id=undergraduate_research_initiative
IIT Kottayam,"May 15, 2022",none,https://internship.iiitkottayam.ac.in/
