Institute,Deadline,Stipend (monthly),Website

"VNIT, Nagpur","Apr 16, 2022",unclear,https://vnit.ac.in/index.php/sip/
"VECC, Kolkata","Apr 18,2022","Rs. 10,000 (consolidated)",https://www.vecc.gov.in/writereaddata/upload/news/Summer_Student.pdf
"NIT Trichy","Apr 15,2022",unclear,https://www.nitt.edu/home/other/jobs/Summer_Internship-Outside_NITT-MAR_2022.pdf
IIT Madras,"Apr 4, 2022","Rs. 6,000",https://sfp.iitm.ac.in/
IIT Palakkad,"Apr 10, 2022","Rs. 6,000",https://sun.iitpkd.ac.in/
IIA Bangalore,"Apr 10, 2022","Rs. 10,000",https://www.iiap.res.in/?q=degree
IIT Gandhinagar,"Mar 25, 2022",,https://srip.iitgn.ac.in/info/
Phasecraft Quantum Software,"Mar 15, 2022",,https://www.phasecraft.io/news/phasecrafts-2022-quantum-software-internship-programme
"MCQST, Munich","Mar 13, 2022",,https://www.mcqst.de/support/summer-bachelor-program/
"IIT Roorkee","Mar 5,2022",,https://spark.iitr.ac.in/175iitr
"NCRA, Pune","Feb 21, 2022",,http://vsrp.ncra.tifr.res.in/VSRP2022/candidate/welcome.ncra
"SQMS Quantum Undergraduate Internship","Feb 17, 2022",,https://internships.fnal.gov/sqms-quantum-undergraduate-internship/
"Racah Institute of Physics, Israel","Feb 15, 2022",,https://phys.huji.ac.il/research-experience-undergraduates-reu-racah-institute
Open Quantum Initiative,"Feb 11, 2022",,https://chicagoquantum.org/oqi-undergraduate-fellowship
IIT Kanpur,"Feb 2, 2022",,https://surge.iitk.ac.in/notification.html
CERN Summer Student Programme,"Jan 31, 2022",,https://summerstudent.web.cern.ch/
ICTS Bangalore,"Jan 31, 2022",,https://www.icts.res.in/academic/summer-research-program
IISC Bangalore ,"Jan 15, 2022",,https://teelabiisc.wordpress.com/join-us/
Science Academies Summer Research,"Nov 30, 2021",,https://webjapps.ias.ac.in/fellowship2022/
"IMSC, Chennai",,,https://www.imsc.res.in/summer_research_programme
"IIT Roorkee",,,https://spark.iitr.ac.in/
"IIT Mandi",,,https://www.iitmandi.ac.in/academics/internship.php
"IUCAA Pune",,,http://www.iucaa.in/Stu-Prog-VSP.html
"IISER Thiruvananthapuram",,,https://www.iisertvm.ac.in/pages/svp
Rutgers University,,,https://www.rise.rutgers.edu/
